,season,lg,pitcher
0,2006,NL,Brandon Webb
1,2006,AL,Johan Santana
2,2007,NL,Jake Peavy
3,2007,AL,CC Sabathia
4,2008,NL,Tim Lincecum
5,2008,AL,Cliff Lee
6,2009,NL,Tim Lincecum
7,2009,AL,Zack Greinke
8,2010,NL,Roy Halladay
9,2010,AL,Felix Hernandez
10,2011,NL,Clayton Kershaw
11,2011,AL,Justin Verlander
12,2012,NL,R.A. Dickey
13,2012,AL,David Price
14,2013,NL,Clayton Kershaw
15,2013,AL,Max Scherzer
16,2014,NL,Clayton Kershaw
17,2014,AL,Corey Kluber
18,2015,NL,Jake Arrieta
19,2015,AL,Dallas Keuchel
20,2016,NL,Max Scherzer
21,2016,AL,Rick Porcello
22,2017,NL,Max Scherzer
23,2017,AL,Corey Kluber
24,2018,NL,Jacob deGrom
25,2018,AL,Blake Snell
26,2019,NL,Jacob deGrom
27,2019,AL,Justin Verlander
28,2021,NL,Corbin Burnes
29,2021,AL,Robbie Ray
30,2022,NL,Sandy Alcantara
31,2022,AL,Justin Verlander